deputado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Josué Bengtson,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
José Airton Cirilo,3      ,3      ,3      ,5,5,5,5,5,3      ,0            ,3      ,5,0            ,1            ,1            ,1            ,5,5,3      ,5,3      ,3      ,5,5,5,0            ,5,5,5,5,5,5,5
José Carlos Aleluia,1            ,0            ,1            ,0            ,5,5,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
José Carlos Araújo,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
José Fogaça,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
José Guimarães,3      ,3      ,3      ,5,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,5,5,1            ,3      ,1            ,3      ,5,3      ,3      ,5,5,3      ,0            ,3      ,3      ,3      ,0            ,0            ,0            ,0            
José Mentor,3      ,5,3      ,3      ,3      ,3      ,5,3      ,5,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,1            ,3      ,3      ,3      ,3      ,0            ,3      ,0            ,3      ,3      ,3      ,3      ,0            
José Nunes,5,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
José Otávio Germano,5,5,5,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,5,5,5,5,5,5,5,5,5,1            ,5,1            ,0            ,1            ,5,5,5,5,5
José Priante,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,5,5,0            ,0            ,5,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
José Reinaldo,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
